x = 20, y = 20,rule = lenia,kernelRadius = 13,mu = 0.15,sigma = 0.017,deltaT = 0.1, peak = [1]
0 0 0 0 0 0 0.103226 0.156587 0.129621 0 0.018621 0.053342 0.05657 0.009104 0 0.336688 0 0 0 0 
0 0 0 0 0 0.073973 0.254666 0.334673 0.337988 0.244513 0.157001 0.175238 0.180619 0.160582 0.128509 0.194255 0 0 0 0 
0 0 0 0 0 0.166766 0.36478 0.463304 0.481152 0.397175 0.172062 0.127888 0.08566 0.103918 0.170047 0.206498 0.544666 0 0 0 
0 0 0 0.024404 0.095828 0.158602 0.414806 0.508038 0.492297 0.361478 0.057705 0 0 0 0 0.127382 0.685865 0 0 0 
0 0 0.016803 0.134087 0.187946 0.171735 0.302746 0.366715 0.346423 0.276757 0.147126 0 0 0 0 0 0.126726 0.5424 0 0 
0.060551 0 0.108511 0.180862 0.102351 0.037476 0.0187 0.235587 0.318052 0.334195 0.303 0 0 0 0 0 0 0.780887 0 0 
0.257085 0.012467 0.177244 0.100999 0 0 0 0.258014 0.397446 0.469854 0.478165 0.418989 0 0 0 0 0 0.189133 0.229854 0 
0 0.21678 0.209542 0.007989 0 0 0 0.33481 0.508026 0.597661 0.645894 0.613012 0.147449 0 0 0 0 0 0.475506 0 
0 0.665096 0.198727 0 0 0 0 0.206459 0.607226 0.731814 0.788308 0.792099 0.664345 0 0 0 0 0 0.348071 0 
0 0.412666 0.203433 0 0 0 0 0 0.696817 0.854361 0.926501 0.950462 0.915995 0.293456 0 0 0 0 0.238619 0.063097 
0 0 0.63316 0 0 0 0 0 0.73364 0.951424 1 1 1 0.778212 0.054024 0 0 0 0.205158 0.089347 
0 0 0.817122 0 0 0 0 0 0.498253 1 1 0.874346 1 1 0.391126 0.010045 0 0.058242 0.216748 0.067528 
0 0 0.28519 0.167108 0 0 0 0 0.281759 1 1 0.801517 0.864403 0.952264 0.597382 0.207688 0.103896 0.146714 0.217232 0.036168 
0 0 0 0.458407 0 0 0 0 0.135615 0.787441 0.981361 0.811154 0.790037 0.817726 0.632012 0.350581 0.22526 0.224802 0.173169 0 
0 0 0 0.246446 0.196038 0 0 0 0.091848 0.511685 0.813596 0.786526 0.717856 0.688153 0.574144 0.401754 0.290816 0.233853 0.088887 0 
0 0 0 0 0.279188 0.145889 0.016005 0.01256 0.111233 0.348297 0.584754 0.642722 0.615298 0.556146 0.475381 0.366316 0.267871 0.154934 0.010087 0 
0 0 0 0 0.039526 0.225759 0.184759 0.153747 0.187126 0.298985 0.428276 0.492188 0.475624 0.432483 0.355651 0.2685 0.163579 0.048352 0 0 
0 0 0 0 0 0.034151 0.166857 0.213639 0.241818 0.280355 0.323481 0.345735 0.334849 0.289658 0.22731 0.144156 0.052044 0 0 0 
0 0 0 0 0 0 0 0.071774 0.145771 0.173632 0.197583 0.197634 0.174216 0.140845 0.08613 0.031621 0 0 0 0 
0 0 0 0 0 0 0 0 0 0.018916 0.041446 0.046862 0.039151 0.018333 0 0 0 0 0 0
